COPYRIGHT LICENSE,1
"Copyright. Any copyright or neighbouring rights in the Database. The copyright licensed includes any individual elements of the Database, but does not cover the copyright over the Contents independent of this Database. See Section 2.4 for details. Copyright law varies between jurisdictions, but is l",1
copyright or other proprietary notice on any of the software.,1
"copyright and know-how are retained, all rights reserved.""",1
Copyright (c) 1996-2001 Logica Mobile Networks Limited;,0
"Copyright (c) 1996-2001 Logica Mobile Networks Limited, all rights reserved.",0
"copyright, and Open Data Commons Attribution License, which covers database rights and applicable copyrights.",1
Copyright (C) 1998 Cygnus Solutions (http://www.cygnus.com). All Rights Reserved.,0
"copyright, patent, data protection, privacy, or personality rights, and this License does not cover any rights (other than Database Rights or in contract) in individual Contents contained in the Database. For example, if used on a Database of images (the Contents), this License would not apply to co",1
"Copyright (C) 1998 Cygnus Solutions. All Rights Reserved.""",0
"Copyright (C) 2012, Georg Kitz, @gekitz",0
"Copyright (C) 1989, 1991 Free Software Foundation, Inc. 59 Temple Place, Suite 330, Boston, MA 02111-1307 USA which is available at http://slsharpziplib.codeplex.com/license (the ""License""). Any use of Silverlight SharpZipLib shall be subject to the License. For a complete machine-readable copy of t",0
"Copyright © 2014 Tapjoy, Inc. All Rights Reserved TAPJOY SDK DOWNLOAD LICENSE AGREEMENT",0
copyright statement(s).,1
"Copyright Holder(s) under this license and clearly marked as such. This may include source files, build scripts and documentation.",1
Copyright (c) 1999-2000 The University of British Columbia,0
Copyright Holder(s).,1
"Copyright 2006 by Princeton University. All rights reserved. THIS SOFTWARE AND DATABASE IS PROVIDED ""AS IS"" AND PRINCETON UNIVERSITY MAKES NO REPRESENTATIONS OR WARRANTIES, EXPRESS OR IMPLIED. BY WAY OF EXAMPLE, BUT NOT LIMITATION, PRINCETON UNIVERSITY MAKES NO REPRESENTATIONS OR WARRANTIES OF MERCH",0
"copyright of this Software, but belong to whomever generated them, and may be sold commercially, and may be aggregated with this Software.",1
copyright holder,1
copyright notices and associated disclaimers.,1
"Copyright Holder"" is whoever is named in the copyright or copyrights for the Derivative Works.",1
copyright infringement if prepared without the authorization of the,1
"Copyright (c) 1999-2000 Image Power, Inc.",0
Copyright (c) 2001-2006 Michael David Adams,0
copyright or patent law in the appropriate jurisdiction. This section shall survive the termination of this License.,1
"copyright, patent, or trademark notices from the Source Code of the Original Work, as well as any notices of licensing and any descriptive text identified therein as an ""Attribution Notice."" You must cause the Source Code for any Derivative Works that You create to carry a prominent Attribution Noti",1
"copyrights, patents, trade secrets or any other intellectual property. No patent license is granted to make, use, sell, offer for sale, have made, or import embodiments of any patent claims other than the licensed claims defined in Section 2. No license is granted to the trademarks of Licensor even",1
"copyright, to do the following:",1
"copyright, patent, trademark, and attribution notices that are included in the Software in the same form as they appear in the Software. This includes the preservation of attribution notices in the form of trademarks or logos that exist within a user interface of the Software.",1
Copyright Notice,1
Copyright (4-digit-year) by (CopyrightHoldersName),1
"copyright is claimed for the compilation. Such a compilation is called an ""aggregate"", and this License does not apply to the other self-contained works thus compiled with the Document, on account of their being thus compiled, if they are not themselves derivative works of the Document.",1
"Copyright (c) 1995-1996 Guy Eric Schalnat, Group 42, Inc.",0
Copyright (c) 1996-1997 Andreas Dilger.,0
"Copyright (c) 2000-2002, 2004, 2006-2018 Glenn Randers-Pehrson.",0
copyrights in the portions it created.,1
"copyright resulting from the compilation is not used to limit the legal rights of the compilation's users beyond what the individual works permit. When the Document is included in an aggregate, this License does not apply to the other works in the aggregate which are not themselves derivative works",1
"Copyright Grant- Subject to the terms of this license, including the license conditions and limitations in section 3, each contributor grants you a non-exclusive, worldwide, royalty-free copyright license to reproduce its contribution, prepare derivative works of its contribution, and distribute its",1
"copyrights in and to the SOFTWARE (including but not limited to all images, photographs, animations, video, audio, music, text, and other information incorporated into the SOFTWARE), the accompanying printed materials, and any copies of the SOFTWARE, are owned by NVIDIA, or its suppliers. The SOFTWA",1
"Copyright (c) 2006, CRYPTOGAMS by <appro@openssl.org> All rights reserved.",0
"copyright law. A ""contribution"" is the original software, or any additions or changes to the software. A ""contributor"" is any person that distributes its contribution under this license. ""Licensed patents"" are a contributor's patent claims that read directly on its contribution.",1
"Copyright (c) 1996 NVIDIA, Corp. NVIDIA design patents pending in the U.S. and foreign countries.",0
"copyrighted under U.S. and international laws. NVIDIA, Corp. of Sunnyvale, California owns the copyright and as design patents pending on the design and interface of the NV chips. Users and possessors of this source code are hereby granted a nonexclusive, royalty-free copyright and design patent lic",0
"copyright laws and international copyright treaties, as well as other intellectual property laws and treaties. The SOFTWARE is not sold, and instead is only licensed for use, strictly in accordance with this document. The hardware is protected by various patents, and is sold, but this LICENSE does n",1
"Copyright (c) 1991 - 1995, Stichting Mathematisch Centrum Amsterdam, The Netherlands. All rights reserved.",0
"copyright, i.e., ""Copyright (c) 2001, 2002, 2003, 2004, 2005, 2006 Python Software Foundation; All Rights Reserved"" are retained in Python alone or in any derivative version prepared by Licensee.",0
"Copyright 2001 Scott Robert Ladd. All rights reserved, except as noted herein.",0
"Copyright (c) 1996 NVIDIA, Corp. All rights reserved.",0
copyright notice,1
"copyright, and export control scans from the command line. As a system, a database and web UI are provided to give you a compliance workflow. In one click you can generate an SPDX file or a ReadMe with all the copyrights notices from your software. FOSSology deduplication means that you can scan an",1
"Copyright (C) 2007-2012 HP Development Company, L.P. In the past years, other contributors added source code and documentation to the project, see the NOTICES file or the referring files for more information.",0
"Copyright (C) the contributor, and should be noted as such in the comments section of the modified file(s).",0
"© 2014,2022, Siemens AG",0
"copyright_dir ""${CPACK_TEMPORARY_DIRECTORY}/${comp}/usr/share/doc/${package_name}"")",1
"copyright_dir}/copyright"" COPYONLY NO_SOURCE_PERMISSIONS) configure_file(""${CPACK_RESOURCE_FILE_README}"" ""${copyright_dir}/README.Debian"" COPYONLY NO_SOURCE_PERMISSIONS) configure_file(""${CPACK_RESOURCE_FILE_CHANGELOG}"" ""${copyright_dir}/changelog.Debian.gz"" COPYONLY",1
"copyright_dir ""${CPACK_TEMPORARY_DIRECTORY}/fossology-common/usr/share/doc/${package_name}"")",1
"copyright_dir}/copyright"" COPYONLY NO_SOURCE_PERMISSIONS) configure_file(""${CPACK_RESOURCE_FILE_README_COMMON}"" ""${copyright_dir}/README.Debian"" COPYONLY NO_SOURCE_PERMISSIONS) configure_file(""${CPACK_RESOURCE_FILE_README_MD}"" ""${copyright_dir}/README.md.gz"" COPYONLY NO_SOURCE_PERMISSION",1
"copyright, libpcre3"") set(CPACK_DEBIAN_KEYWORD_PACKAGE_SECTION ""utils"")",1
"copyright, libpcre3"")",1
"copyright"")",1
"COPYRIGHT_PACKAGE_DEPENDS fossology-common, libpcre3"")",1
"copyright agent programs and their resources."")",1
copyright FO_PACKAGE_COMMON_DESCRIPTION},1
"COPYRIGHT_PACKAGE_NAME ""fossology-copyright"") set(CPACK_DEBIAN_COPYRIGHT_FILE_NAME ""fossology-copyright_${FO_PACKAGE_VERSION}-1_amd64.deb"") set(CPACK_DEBIAN_COPYRIGHT_DESCRIPTION",1
"copyright information from scancode FO_PACKAGE_COMMON_DESCRIPTION} This package contains the scancode agent programs and their resources."")",1
"copyright, fossology-ecc, fossology-keyword, fossology-ipra, fossology-buckets, fossology-mimetype, fossology-delagent, fossology-wgetagent"") set(CPACK_DEBIAN_FOSSOLOGY_PACKAGE_RECOMMENDS fossology-monk, fossology-monkbulk, fossology-decider, fossology-readmeoss, fossology-spdx2, fo",1
copyright ecc keyword ipra db debug decider deciderjob decisionexporter decisionimporter delagent mimetype monk monkbulk nomos ojo pkgagent readmeoss unifiedreport reuser reso scancode scheduler softwareHerit,1
"copyright"") set(CPACK_RESOURCE_FILE_CHANGELOG ""${CMAKE_BINARY_DIR}/pack/changelog.Debian.gz"") set(CPACK_RESOURCE_FILE_README_MD ""${CMAKE_BINARY_DIR}/pack/README.md.gz"") set(CPACK_RESOURCE_FILE_README_COMMON ""${FO_DEBDIR}/common/fossology-common.README.Debian"") set(CPACK_COMPONENTS_GROUPING ""ONE_PER_",1
"COPYRIGHT_PACKAGE_SECTION ""utils"")",1
© 2022 Gaurav Mishra <mishra.gaurav@siemens.com>,0
"copyright to lgpl, thanks Frank Lichtenheld.",1
copyright more specific. Add upstream SVN#3338 fix for ununpack p7zip.,1
"copyright database, svn#3348 init script restart output, svn#3346",1
"copyright wrong variable name, svn#3355 bucket agent fixes, svn#3351-3353",1
Copyright agent replaced Fixed a cp2foss authentication bug fixed unpack defects and made some improvements,1
"copyright information from scancode. The FOSSology project is a web based framework that allows you to upload software to be picked apart and then analyzed by software agents which produce results that are then browsable via the web interface. Existing agents include license analysis, metadata e",1
"copyright, ${misc:Depends} Description: architecture for analyzing software, OSS readme generator The FOSSology project is a web based framework that allows you to upload software to be picked apart and then analyzed by software agents which produce results that are then browsable via the web int",1
"copyright, fossology-buckets, fossology-mimetype, fossology-delagent, fossology-wgetagent, ${misc:Depends} Recommends: fossology-monk, fossology-monkbulk, fossology-decider, fossology-readmeoss, fossology-spdx2, fossology-reportimport, fossology-softwareheritage, fossology-reuser, fossology-ninka",1
copyright agent programs and their resources.,1
"copyright Architecture: any Depends: fossology-common, libpcre3, ${shlibs:Depends}, ${misc:Depends}",1
"copyright The FOSSology project is a web based framework that allows you to upload software to be picked apart and then analyzed by software agents which produce results that are then browsable via the web interface. Existing agents include license analysis, metadata extraction, and MIME type i",1
copyright/agent_tests/testdata/testdata78_raw,1
copyright/agent_tests/testdata/testdata7_raw fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/eddyData.tar.bz2/eddyData.tar/LGPL/LGPL_v2_or_later/LGPL_v2_or_later_b.txt fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/eddyData.t,1
copyright/agent_tests/testdata/testdata0 License: NoLicenseConcluded Comment: scanners found: BSD-2-Clause AND SSH-short AND WebM,1
Copyright variant 2 License: NoLicenseConcluded Comment: scanners found: Rdisc AND Sun,1
copyright/agent_tests/testdata/testdata117_raw License: NoLicenseConcluded Comment: scanners found: Dual-license AND GFDL-1.2 AND GPL-3.0+ AND LGPL-2.0+,1
copyright/agent_tests/testdata/testdata116,1
copyright/agent_tests/testdata/testdata117,1
copyright/agent_tests/testdata/testdata116_raw,1
copyright_waiver.txt fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/SPDX/CC0-1.0 License: NoLicenseConcluded Comment: scanners found: CC0-1.0,1
copyright clause fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/Freeware/sparse_crc32.c fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/Freeware/snprintf.c fossology-master.zip/fossology-master/src/nomos/ag,1
copyright/agent_tests/testdata/testdata58_raw License: (NoLicenseConcluded (scanners found: GPL-2.0+ OR MPL-1.1)),1
copyright/agent_tests/testdata/testdata58 fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/eddyData.tar.bz2/eddyData.tar/dual/dual_one_OR_other/dual_GPL_v2_or_later_a_OR_MPL_v1.1_a.txt,1
copyright/agent_tests/testdata/testdata73 License: NoLicenseConcluded Comment: scanners found: Artistic-1.0-Perl AND GPL-2.0+ AND Vixie AND Vixie-license,1
copyright/agent_tests/testdata/testdata63 License: NoLicenseConcluded Comment: scanners found: GPL-3.0,1
copyright/agent_tests/testdata/testdata65_raw fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/eddyData.tar.bz2/eddyData.tar/GPL/GPL_v3/GPL_v3_b.txt,1
copyright/agent_tests/testdata/testdata64_raw,1
copyright/agent_tests/testdata/testdata62_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/GPL/GPL-3.0_c.txt fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/SPDX/GPL-3.0,1
copyright/agent_tests/testdata/testdata66_raw fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/eddyData.tar.bz2/eddyData.tar/GPL/GPL_v3/GPL_v3_f.txt fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/licenses/gpl-3.0.txt fossology-m,1
copyright/agent_tests/testdata/testdata68,1
copyright/agent_tests/testdata/testdata64 fossology-master.zip/fossology-master/src/lib/php/Test/repo/files/04621571bcbabce75c4dd1c6445b87dec0995734.59cacdfce5051cd8a1d8a1f2dcce40a5.12320 fossology-master.zip/fossology-master/src/www/ui/core-schema.dat fossology-master.zip/fosso,1
copyright/agent_tests/testdata/testdata67_raw fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licenses/GPL/Affero/Affero GPL v1.0 fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fo,1
copyright/agent_tests/testdata/testdata65 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/GPL/test-file-4-GPL-3.0 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/SPDX/GPL-3.0-only,1
copyright/agent_tests/testdata/testdata62,1
copyright/agent_tests/testdata/testdata68_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/GPL/server_monitor.py fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/eddyData.tar.bz2/eddyData.tar/GPL/GPL_v3/GPL_v3_g.txt,1
copyright/agent_tests/testdata/testdata7 fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/eddyData.tar.bz2/eddyData.tar/LGPL/LGPL_v2_or_later/LGPL_v2_or_later_c.txt,1
copyright/agent_tests/testdata/testdata8_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/LGPL/LGPL-2.0+_ref_a.txt,1
copyright/agent_tests/testdata/testdata11 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/SPDX/LGPL-2.0-or-later,1
copyright/agent_tests/testdata/testdata8,1
copyright/agent_tests/testdata/testdata26_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/FTL/gxvfgen.c fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/FTL/freetype.h fossology-master.zip/fossology-maste,1
copyright/agent_tests/testdata/testdata26 fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licenses/FreeType/FreeType reference,1
copyright/agent_tests/testdata/testdata30_raw License: NoLicenseConcluded Comment: scanners found: PostgreSQL,1
copyright/agent_tests/testdata/testdata30 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/PostgreSQL/odbc_fdw.control fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/package_defs/PostgreSQL.pom,1
copyright/agent_tests/testdata/testdata97_raw License: NoLicenseConcluded Comment: scanners found: GFDL-1.2+ AND GPL-3.0+,1
copyright/agent_tests/testdata/testdata103_raw,1
copyright/agent_tests/testdata/testdata103,1
copyright/agent_tests/testdata/testdata97,1
copyright.txt fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/eddyData.tar.bz2/eddyData.tar/Affero/Affero_v3_a.txt fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/SPDX/AGPL-3.0 fossology-master.zip/fossology-maste,1
Copyright/Free with copyright clause variant 1 fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licenses/Adobe/Adobe fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-,1
Copyright/Free with copyright clause variant 11 fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licenses/Free/Free clause variant 3 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/Nom,1
Copyright/Free with copyright clause variant 3 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/MIT/watch.c fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licenses/Free,1
copyright/agent_tests/testdata/testdata2 fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licenses/Gov/CeCILL_V1-fr fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1,1
copyright/agent_tests/testdata/testdata136_raw fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/fossI16L335U29.tar.bz2/fossI16L335U29.tar/fossology/agents/foss_license_agent/Licenses/1sl.txt,1
copyright/agent_tests/testdata/testdata9_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/GPL/atp870u.c.GPLpossibility fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/GPL/gpl-test2.txt fossology-master.zi,1
copyright/agent_tests/testdata/testdata42_raw fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licenses/GPL/Affero/Affero GPL v3.0 fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archi,1
copyright/agent_tests/testdata/testdata9,1
copyright/agent_tests/testdata/testdata42 fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licenses/GPL/CopyLeft reference fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-,1
copyright/agent_tests/testdata/testdata136 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/GPL/aha1740.c.GPLv2,1
copyright/agent_tests/testdata/testdata20 fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/eddyData.tar.bz2/eddyData.tar/GPL/GPL_vNone/GPL_vNone_p.txt,1
copyright/agent_tests/testdata/testdata20_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/GPL/curve.c fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/eddyData.tar.bz2/eddyData.tar/GPL/GPL_vNone/GPL_vNone_o.txt,1
copyright/agent_tests/testdata/testdata11_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/SPDX/LGPL-2.0+ fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/GPL/gnu-md5.c fossology-master.zip/fossology-maste,1
copyright/agent_tests/testdata/testdata66,1
copyright/agent_tests/testdata/testdata63_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/GPL/GPL-3.0.txt fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licenses/G,1
copyright/agent_tests/testdata/testdata67 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/GPL/GPL-3.0b.txt fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/www/plugins/core-sch,1
"Copyright: (c) 2006 VeriSign, Inc. License: NoLicenseConcluded Comment: scanners found: UnclassifiedLicense",1
copyright/agent_tests/testdata/testdata54,1
copyright/agent_tests/testdata/testdata50_raw License: NoLicenseConcluded Comment: scanners found: GFDL-1.1 AND GPL-3.0 AND LGPL,1
copyright/agent_tests/testdata/testdata141_raw License: NoLicenseConcluded Comment: scanners found: Microsoft-possibility,1
copyright/agent_tests/testdata/testdata80,1
copyright/agent_tests/testdata/testdata139_raw,1
copyright/agent_tests/testdata/testdata139 License: NoLicenseConcluded Comment: scanners found: BSD-3-Clause AND MIT AND PSF-2.0 AND Python AND WebM AND ZPL-2.1,1
copyright/agent_tests/testdata/testdata35,1
copyright/agent_tests/testdata/testdata1_raw fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/archives/eddyData.tar.bz2/eddyData.tar/EPL/EPL_V1.0/EPL_v1.0_a.txt fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/us,1
copyright/agent_tests/testdata/testdata39,1
copyright/agent_tests/testdata/testdata89,1
Copyright/Free with copyright clause variant 4 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/MIT/MIT-style_a.txt fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licen,1
copyright/agent_tests/testdata/testdata121_raw,1
copyright/agent_tests/testdata/testdata0_raw License: NoLicenseConcluded Comment: scanners found: BSD-2-Clause AND BSD-2-Clause-Views AND SSH-short,1
copyright/agent_tests/testdata/testdata122_raw,1
copyright clause fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/MIT/MIT-ref_j.txt fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/MIT/KhronosMIT fossology-master.zip/fossology-master/src/nomos/agent_tests/t,1
copyright/agent_tests/testdata/testdata79_raw License: NoLicenseConcluded Comment: scanners found: BSD-2-Clause AND Mup,1
copyright_ref.txt fossology-master.zip/fossology-master/src/testing/dataFiles/pkginstall/debian/6/apache2-php.ini fossology-master.zip/fossology-master/src/srcdocs/fodox.conf fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/See-doc/mic.h,1
copyright/agent_tests/testdata/testdata80_raw,1
copyright/agent_tests/testdata/testdata1 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/SPDX/EPL-1.0 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/EPL/egPrerequisites.h fossology-master.zip/fossology-mast,1
copyright/agent_tests/testdata/testdata79,1
copyright/agent_tests/testdata/testdata24_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/MIT/ImaginationMIT fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/MIT/ge_console.h,1
copyright/agent_tests/testdata/testdata78 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/BSD/BSD-2-Clause_not_BSD-style.txt,1
copyright/agent_tests/testdata/testdata24 fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/MIT/MIT-ref_k.txt fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/MIT/string.ts fossology-master.zip/fossology-master,1
copyright/agent_tests/testdata/testdata93 License: NoLicenseConcluded Comment: scanners found: CUA-OPL-1.0 AND MIT AND MPL AND MPL-1.1 AND NPL AND Zlib,1
copyright/agent_tests/testdata/testdata89_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/CMU/MIT-CMU-style.txt fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/lice,1
copyright/agent_tests/testdata/testdata50,1
copyright/agent_tests/testdata/testdata61_raw License: NoLicenseConcluded Comment: scanners found: 0BSD AND BSD-3-Clause AND FSF AND FSFULLR AND GFDL-1.2+ AND GPL-3.0+ AND ISC AND WebM,1
Copyright/UC Regents free with copyright clause fossology-master.zip/fossology-master/src/delagent/agent_tests/testdata/testrepo_files.tar.gz/testrepo_files.tar/files/40/78/62/407862df5de683fa894a809117000af0dc7ae688.8bdd99c03f26069ed8cf5e3f3509b6a0.326505/407862df5de683fa894a809117000af0dc7a,1
copyright/agent_tests/testdata/testdata52_raw fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/licenses/BSD_style_h.txt fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/BSD/FindUSB1.cmake fossology-master.zip/fossology-maste,1
copyright/agent_tests/testdata/testdata52 fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licenses/BSD/BSD.new/BSD new short.meta fossology-master.zip/fossology-master/src/testing/dataFiles/TestData/licen,1
Copyright: copyright by the Free Software Foundation License: NoLicenseConcluded Comment: scanners found: CC-BY AND Dual-license AND Freeware AND FSFAP AND GPL-2.0 AND LGPL-2.1 AND LGPL-2.1+ AND MIT AND Phorum AND PostgreSQL AND VSL-1.0 AND WebM,1
copyright License: NoLicenseConcluded Comment: scanners found: Nvidia,1
copyright/agent_tests/testdata/testdata23 License: NoLicenseConcluded Comment: scanners found: BSL-1.0,1
copyright/agent_tests/testdata/testdata23_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/BSL/intel.hpp fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/BSL/boost.css,1
Copyright: copyright by the Free Software Foundation License: NoLicenseConcluded Comment: scanners found: 389-exception AND AGPL AND BSD-3-Clause AND CC-BY AND Classpath-exception-2.0 AND Dual-license AND ECL-1.0 AND ECL-2.0 AND eCos-exception-2.0 AND EFL-1.0 AND EFL-2.0 AND eGenix AND Entessa AND E,1
copyright/agent_tests/testdata/testdata121 License: NoLicenseConcluded Comment: scanners found: Dual-license AND GPL-2.0+ AND LGPL-2.1+ AND MPL-1.1,1
copyright/agent_tests/testdata/testdata120,1
copyright/agent_tests/testdata/testdata22,1
copyright/agent_tests/testdata/testdata122,1
copyright/agent_tests/testdata/testdata120_raw fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/MPL/mozilla.xhtml,1
copyright/agent_tests/testdata/testdata36_raw,1
copyright/agent_tests/testdata/testdata36 License: NoLicenseConcluded Comment: scanners found: Apache-1.1-style AND Apache-2.0 AND Beerware AND Bellcore AND CMU AND Entessa AND GPL AND LGPL AND MIT AND NTP AND RSA-MD AND Spencer-86 AND Spencer-94 AND Zeus,1
copyright/agent_tests/testdata/testdata37,1
copyright/agent_tests/testdata/testdata73_raw License: NoLicenseConcluded Comment: scanners found: Artistic-1.0-Perl AND GPL-2.0+ AND Vixie-license,1
copyright/agent_tests/testdata/testdata22_raw,1
copyright/agent_tests/testdata/testdata37_raw,1
copyright/agent_tests/testdata/testdata39_raw License: NoLicenseConcluded Comment: scanners found: Apache-1.1 AND Apache-1.1-style AND Apache-2.0 AND Beerware AND Bellcore AND CMU AND GPL AND LGPL AND MIT AND NTP AND RSA-MD AND Spencer-86 AND Spencer-94,1
copyright/agent_tests/testdata/testdata54_raw License: NoLicenseConcluded Comment: scanners found: GPL-2.0+ AND Public-domain,1
copyright/agent_tests/testdata/testdata61,1
copyright/agent_tests/testdata/testdata93_raw,1
copyright/agent_tests/testdata/testdata141 fossology-master.zip/fossology-master/src/pkgagent/agent_tests/testdata/fossology-1.2.0-1.el5.i386.rpm/usr/share/fossology/agents/licenses/Corporate/Microsoft/Microsoft EULA Software.meta,1
copyright/agent_tests/testdata/testdata85,1
copyright/agent_tests/testdata/testdata90,1
Copyright/Unidex fossology-master.zip/fossology-master/src/nomos/agent_tests/testdata/NomosTestfiles/Unidex/unidex.txt License: NoLicenseConcluded Comment: scanners found: Unidex,1
copyright/agent_tests/testdata/testdata131 License: NoLicenseConcluded Comment: scanners found: BSD-4-Clause AND BSD-4-Clause-UC AND GPL-2.0+,1
copyright/agent_tests/testdata/testdata131_raw,1
copyright/agent_tests/testdata/testdata31_raw License: NoLicenseConcluded Comment: scanners found: Same-license-as,1
copyright/agent_tests/testdata/testdata31,1
copyright/agent_tests/testdata/testdata87_raw License: NoLicenseConcluded Comment: scanners found: GPL AND ISC,1
copyright/agent_tests/testdata/testdata87,1
copyright/agent_tests/testdata/testdata86_raw,1
copyright/agent_tests/testdata/testdata86,1
